question,answer
Затруднен монтаж насоса у потребителя,"Материал для уплотнителя 512005 имеет повышенную твердость по причине плохой очистки шнека наладчиком ТПА Что бы исправить D - валидация 1 годного изделия
Р - соблюдение правил очистки шнека наладчиком ТПА при запуске ТПА"
Попадание пыли на изделия,Отсутствие/повреждение  упаковочного материала Что бы исправить Р- 100% визуальный контроль целостности упаковки сборщиком
Попадание пыли на изделия,Повреждение упаковки Что бы исправить Р- 100% визуальный контроль целостности упаковки сборщиком; транспортировка автотранспортом с крытым кузовом
Падение тары с готовой продукцией,"Повреждение упаковки Что бы исправить D-контроль целостности упаковки, контроль отсутствия падения тары с готовой продукцией водителем погрузчика при перемещении "
Попадание пыли на изделия,Повреждение упаковки Что бы исправить Р- 100% визуальный контроль целостности упаковки кладовщиком 
Падение тары с готовой продукцией,"Повреждение упаковки Что бы исправить D-контроль целостности упаковки, отсутствие падения тары с готовой продукцией водителем погрузчика при погрузке"
Не соответствующий показатель скорости горения,Не выдержаны параметры в технологии изготовлении материала Что бы исправить результаты испытаний получаемые с  каждой партией
Отклонение по физико-механическим показателям материалов и комплектующих,Не выдержаны параметры в технологии изготовлении материала Что бы исправить мониторинг поставщиков
"Наличие механических повреждений упаковки. Отсутствие на упаковке  наименования материала, номера и даты партии.",Не выдержаны параметры в технологии изготовлении материала Что бы исправить результаты испытаний получаемые с  каждой партией
Отклонение по физико-механическим показателям материалов и комплектующих,"Нарушение поставщиком требований упаковки и/или транспортировки, Потеря документов Что бы исправить мониторинг поставщиков"
"Наличие механических повреждений упаковки. Отсутствие на упаковке  наименования материала, номера и даты партии.","Нарушение поставщиком требований упаковки и/или транспортировки, Потеря документов Что бы исправить мониторинг поставщиков"
Не соблюдены условия хранения материалов и комплектующих  ,Нарушение при размещении и складировании материалов и комплектующих из-за ошибок персонала Что бы исправить  Соблюдение требовний инструкции при размещении при приемке на склад
Не соблюдены сроки хранения материалов и комплектующих ,"Несоблюдение требовний ТУ, нарушение принципа FIFO при выдаче в производство. Что бы исправить Соблюдение требовний ТУ, отгрузка в соответствии с принципом FIFO "
"Повреждение упаковки при перемещении, отсутствие идентификации",Повреждение упаковки при перемещении материалов и комплектующих из-за ошибок персонала Что бы исправить  Соблюдение требовний инструкции размещения при перемещении
Выданы материалы и комплектующие не по принципу FIFO,"Отсутствие идентификации материалов и комплектующих, ошибка персонала Что бы исправить Отгрузка в соответствии с принципом FIFO, визуальный контроль наличия идентификации"
Несоответствие внешнего вида,Не выдержаны параметры в технологии изготовлении материала поставщиком Что бы исправить  Соблюдение требовний инструкции при входном контроле
Не пробито отверстие,"не установлен пробойник в раскройной машине
Отсутствует метка в раскладке Что бы исправить Четкие указания меток и диаметров отверстий рабочих документах (раскладках)"
диаметр отверстия меньше минимально допустимого значения,"Установлен неверный пробойник
неверная метка в раскладке Что бы исправить Четкие указания меток и диаметров отверстий рабочих документах (раскладках)"
диаметр отверстия больше максимально допустимого значения,"Установлен неверный пробойник
неверная метка в раскладке Что бы исправить Четкие указания меток и диаметров отверстий рабочих документах (раскладках)"
Смещение отверстия,Смещение  крепления пробойника относительно осей X Y Что бы исправить Ежедневный тест по центровке отверстий 
Деталь по контуру больше максимально допустимого значения,Метка для пробивки отверстия в раскладке установлена в неверном месте Что бы исправить Ежедневный тест по центровке отверстий 
Деталь по контуру меньше минимально допустимого значения,"Не выдержаны режимы резания
Количество слоев больше максимально допустимого
Ошибка в раскладке при переводе лекала в электронный вид Что бы исправить Выдержка режимов резания,
Количество слоев в рамках допустимого,
Верная раскладка при переводе лекала в электронный вид"
Смешены рассечки,"Не выдержаны режимы резания
Количество слоев больше максимально допустимого
Ошибка в раскладке при переводе лекала в электронный вид Что бы исправить Выдержка режимов резания,
Количество слоев в рамках допустимого,
Верная раскладка при переводе лекала в электронный вид"
Глубина рассечки больше максимально допустимого значения,"Не выдержаны режимы резания
Количество слоев больше максимально допустимого
Ошибка в раскладке при переводе лекала в электронный вид Что бы исправить Установка параметров  резания согласно типу материала"
Текстильный брак на детали,Не проведена операция  разбраковки деталей по текстильному браку на участке раскроя Что бы исправить Разбраковка деталей согласно каталогу дефектов текстильных  материала
"
СТАНДАРТНЫЙ ДЕФЕКТ №1
Натяжение нити сильное","1.Неверная регулировка натяжения
2.Неправильная заправка шв. машины Что бы исправить 
Заправка в соответствии с Инструкцией по натяжению нити
Провека знаний заправки оборудования"
"
СТАНДАРТНЫЙ ДЕФЕКТ №2 Натяжение нити слабое","1.Неверная регулировка натяжения
2.Неправильная заправка шв. машины Что бы исправить 
Заправка в соответствии с Инструкцией по натяжению нити
Провека знаний заправки оборудования"
" 
СТАНДАРТНЫЙ ДЕФЕКТ №3 Длина стежка большая","1.Неверная регулировка натяжения
2.Неправильная заправка шв. машины Что бы исправить 1.Регулировка в соответствии с Рабочей инструкцией с внесенными параметрами длины стежка, 
2.Проверка на
тест-лоскуте"
"
СТАНДАРТНЫЙ ДЕФЕКТ №4 Длина стежка маленькая","1.Неверная регулировка натяжения
2.Неправильная заправка шв. машины Что бы исправить 1.Регулировка в соответствии с Рабочей инструкцией с внесенными параметрами длины стежка, 
2.Проверка на
тест-лоскуте"
"
СТАНДАРТНЫЙ ДЕФЕКТ №5 Пропуск  в шве","1.Неправильная заправка нитей,
2.Неверная регулировка хода иглы.
 Что бы исправить Ежедневная проверка качества строчки  (тест-лоскут)"
"
СТАНДАРТНЫЙ ДЕФЕКТ №6 Ширина шва большая (в том числе для  обивки подголовника)","
1.Отсутствие указаний в рабочей .
Инструкции
2.Неверная установка ограничителя Что бы исправить Регулировка/ установка в соответствии с Рабочей инструкцией"
"
СТАНДАРТНЫЙ ДЕФЕКТ №7 Ширина шва маленькая (в том числе для обивки подголовника)","
1.Отсутствие указаний в рабочей .
Инструкции
2.Неверная установка ограничителя Что бы исправить Регулировка/ установка в соответствии с Рабочей инструкцией"
"
СТАНДАРТНЫЙ ДЕФЕКТ№8 неравномерный шов","
1.Отсуствует приспособление на шв. Машинке Что бы исправить Установка приспособления (ограничитель)"
"
СТАНДАРТНЫЙ ДЕФЕКТ№9 закрепка маленькая","
1.Отсутствие контроля со стороны оператора
  Что бы исправить Соблюдение указаний в раб. инструкции о размере закрепки

"
СТАНДАРТНЫЙ ДЕФЕКТ№10     не совмещены рассечки,"1.Отсутствие указаний в рабочей инструкции
Отсутствие контроля со стороны оператора
Некорректный крой Что бы исправить 1.Соблюдение указаний в раб. инструкции  о размере закрепки
2.корректировка кроя"
СТАНДАРТНЫЙ ДЕФЕКТ №11  порыв стачного шва  на спинках зад. Сидения в районе замка откидывания спинки,1.отсутствие усиленной фиксации молнии в районе разреза (нет закрепки) Что бы исправить Соблюдение указаний в раб. инструкции  
СТАНДАРТНЫЙ ДЕФЕКТ №12 Технологический разрез выходит на лицевую сторону (передний подголовник),"маленькая ширина шва
2.Превышен размер максимального допуска разреза на детали кроя Что бы исправить Соблюдение указаний допусков по ш/ш в раб. инструкции 
2.Проработка кроя"
"
СТАНДАРТНЫЙ ДЕФЕКТ№13 не обрезаны нити","1.Отсутствие контроля со стороны оператора
  Что бы исправить 1.Соблюдение указаний в раб. инструкции  "
"
СТАНДАРТНЫЙ ДЕФЕКТ№14 петленая строчка",1.Нарушение требований рабочей инструкции по контролю Что бы исправить 1.Соблюдение указаний в раб. инструкции  
Маленний шаг стежка декоративной строчки,1.неверно выставлен параметр  шв. машины Что бы исправить Соблюдение указаний в раб. инструкции 
 Большой  шаг стежка декоративной строчки,1.неверно выставлен параметр  шв. машины Что бы исправить Соблюдение указаний в раб. инструкции 
 Ширина шва большая/ маленькая,1.неверно выставлен параметр  шв. машины Что бы исправить Соблюдение указаний в раб. инструкции 
 неровный шов,"
1.Отсутствие контроля со стороны оператора Что бы исправить Соблюдение указаний в раб. инструкции "
"Пропуск продукции не соответсвующей  контрольному образцу (несоответствующие ширины шва, длина стежка, совмещения рассечек)","1.Нарушено выполнение ИФК
 Что бы исправить Соблюдение требований рабочей инструкции, своевременное обучение контролеров"
"Пропуск продукции без  Комплектующих (утяжка,профиль)","1.Нарушено выполнение ИФК
 Что бы исправить Соблюдение требований рабочей инструкции, своевременное обучение контролеров"
Пропуск продукции с загрязнениями,"1.Нарушено выполнение ИФК
 Что бы исправить Соблюдение требований рабочей инструкции, своевременное обучение контролеров"
Пропуск продукции с  петленой строчкой,"1.Нарушение требований рабочей инструкции по контролю Что бы исправить 1 внести изменения в РИ по доп. контролю строчки с другой стороны
"
"
Переделка сделана неправильно","Нарушено выполнение инструкции по переделке Что бы исправить Соблюдение требований инструкции, обозначение места переделки  буквой ""П"""
"
Переделка сделана неправильно","Нарушено выполнение инструкции по переделке Что бы исправить Соблюдение требований инструкции, обозначение места переделки  буквой ""П"""
Невыполнение требований инструкции по упаковке готовой продукции,"Нарушено выполнение инструкции
2.необученность комплектовщика Что бы исправить Соблюдение требований инструкция по упаковке готовой продукции, своевременное обучение комплектовщиков"
"Нарушение целостности упаковки, механические повреждения продукции ",Повреждение упаковки при перемещении готовой продукции - нарушение правил транспортировки Что бы исправить Соблюдение инструкции по перемещению
Не соблюдены условия хранения готовой продукции,Нарушение при размещении и складировании готовой продукции из-за ошибок персонала Что бы исправить Соблюдение инструкции по хранению
Не соблюдены сроки хранения готовой продукции,"Несоблюдение требовний ТУ, нарушение принципа FIFO  Что бы исправить Соблюдение требовний ТУ, отгрузка в соответствии с принципом FIFO "
Выдана готовая продукция не по принципу FIFO,"Отсутствие идентификации готовой продукции, ошибка персонала Что бы исправить Отгрузка в соответствии с принципом FIFO, визуальный контроль наличия идентификации"
"Наличие повреждений, отсутствие сопроводительной документации","Несоблюдение требовний инструкции, Отсутствие идентификации готовой продукции, ошибка персонала Что бы исправить Соблюдение требовний инструкции по перемещению, соевременная идентификация готовой продукции, выдача сопроводительной документации  "
Несоответствие груза заявке,"Несоблюдение требовний инструкции, Отсутствие идентификации готовой продукции, ошибка персонала Что бы исправить Соблюдение требовний инструкции , соевременная идентификация готовой продукции"
"Несоответствие требованиям ТУ по внешнему виду (ширины шва,длины стежка,совмещение рассечек,совмещение краев
ширина декор строчки,длины стежка отстрочки)","Несоблюдение требований плана управления, ТУ, рабочих инструкций, ошибки персонала Что бы исправить Соблюдение всех необходимых требований"
Несоответствие внешнего вида готовой продукции на наличие комплектующих,"Несоблюдение требований плана управления, ТУ, рабочих инструкций, ошибки персонала Что бы исправить Соблюдение всех необходимых требований, Визуальный контроль на соответствие образцу-эталону"
"Неполный пакет сопроводительных документов, отсутствие документа о качестве","Ошибки поставщика в логистическом сопровождении Что бы исправить Р - работа с поставщиком по предупреждению повторов ситуации. Дублирование документов по  e-mail
 О - визуальный контроль наличия и полноты пакета сопроводительной документации при приемке "
"Несоответствие упаковки (нарушение целостности, загрязнения)","Нарушение поставщиком требований упаковки и/или транспортировки Что бы исправить Р - рекламации, запрос КД,  работа с поставщиком по предупреждению повторов ситуации
О -визуальный контроль упаковки сырья и материалов при приемке "
"Несоответствие по показателю ""температура плавления""","Нарушение поставщиком технологии изготовления сырья Что бы исправить Р -запрос ПКД. Запрос SPC у изготовителя сырья 1 раз в год. Аудит производства поставщика.
О -  проведение контроля каждой партии по показателю «Температура плавления» в соответствии с РИ 59.
(лабораторный анализ сырья). "
Сырье размещено в несоответствующих зонах,"Нарушение идентификации зоны при размещении материала из-за ошибок персонала Что бы исправить Р - соблюдение требований рабочей инструкции № 7 ""По хранению сырья"". Инструктаж персонала.
О - визуальный контроль размещения при приемке на склад"
Нарушение температурного режима хранения материала,"Влияние внешних температурных факторов Что бы исправить Р -ведение журнала контроля температуры. Своевременный осмотр задний/сооружений, выявление несоответствий.   
О - Ежедневный контроль параметров хранения"
Не соблюдены сроки хранения сырья,"Нарушение принципа FIFO при выдаче в производство. Что бы исправить Р - выполнение требований при отгрузке в соответствии с принципом FIFO. Инструктаж персонала.
О - контроль по срокам хранения сырья на складе"
Повреждение упаковки при перемещении,"Нарушение правил транспортировки Что бы исправить Р - соблюдение требований по правилам транспортировки. Соблюдение Распоряжения о перемещении сырья и материалов на погрузчике. Инструктаж персонала
О - Визуальный контроль 100%."
"В цех  выдано заблокированное сырьё, материал","Отсутствие идентификации по признаку годности сырья, материала, нарушение требований С10 ""Идентификация и прослеживаемость в производстве"", Что бы исправить Р - соблюдение выполнения требований ""Идентификация и прослеживаемость в производстве"". Блокировка несоответствующего сырья и материалов  Инструктаж персонала.
О - регистрация перемещений заблокированного материала в автоматизированной системе Бора Пак. 
 "
Не соблюдены сроки хранения сырья. При отрицательных температурах -  до начала использования размещение в теплой зоне хранения материалов (не менее 48 часов),"Отсутствие идентификации сроков хранения сырья во временной зоне, несвоевременная выдача в производство - несоблюдение требований  С10 ""Идентификация и прослеживаемость в производстве"", Что бы исправить Р -  выполнение требований С10 ""Идентификация и прослеживаемость в производстве"". Инструктаж персонала.
О - Визуальный контроль наличия даты выдачи материала на паллете при перемещении сырья, материала в производство цеха экструзии по срокам хранения до начала производства (не менее 48 часов) -  каждое тарное место"
Повреждение упаковки при перемещении,"Повреждение упаковки рохлей при транспортировке Что бы исправить Р - соблюдение требований по правилам транспортировки.  Соблюдение Распоряжения о перемещении сырья и материалов на погрузчике
О- 100% визуальный контроль целостности каждой упаковки"
Нарушение рецептуры производства,"Отсутствие идентификации сырья и материалов (наличие на упаковке наименования сырья, номера и даты партии, веса и ID номера) Что бы исправить Р - маркировка сырья и материалов в соответствии с С10 ""Идентификация и прослеживаемость в производстве"".
О -  100% визуальный контроль каждого тарного места "
Нарушение режимов производства,"Сбой в работе оборудования. Что бы исправить Р - выполнение требований РИ 29 карта автономного обслуживания оборудования.- в начале смены/ при смене задания/ при остановке более 30 мин/ при корректировке режимов
О - контроль настроек в течение смены. Автоматизированная система Бора Пак (""Режимы"") "
Несоответствие количества погонных метров в рулоне,"Несоблюдение требований условий заявки на производство Что бы исправить Р - соблюдение требований регламентирующей технической документации. Инструктаж персонала.
О - контроль каждого рулона в течение смены "
Отклонение рукава от оси головы экструдера,"Износ резьбы внутреннего диска кольца охлаждения головы экструдера Что бы исправить Р - проведение анализа, определение коренной причины, разработка КД. 
 О - 100% контроль положения рукава в течение смены"
"Посторонние включения в пленке, нерасплавы, сквозные отверстия","Несоблюдение требований РИ по экструзии Что бы исправить Р - соблюдение требований РИ по экструзии.
О - 100% визуальный контроль внешнего вида машинистом экструзии"
Экструзионная складка на пленке,"Дефект сырья (включения) -
загрязнение при хранении/ несоответствующее сырье от изготовителя Что бы исправить Р - соблюдение условий хранения сырья (в т.ч. по целостности упаковки) / рекламационная работа с изготовителем сырья.
О - 100% визуальный контроль сырья машинистом экструзии до заполнения бункеров"
"""Свисание"" пленки со шпули","Сбой настроек оборудования Что бы исправить Р - соблюдение требований РИ по экструзии. Заполнение ежедневного чек-листа. Анализ причин сбоя, разработка КД.
О - контроль в соответствии с  РИ 24 ""Виды несоответствий в цехе экструзии"", РИ 60 по контролю средств измерений (поверка СИ производится согласно графику), РИ 27 «Контроль качества пленки»"
Нарушение допуска по ширине пленки,"Сбой настроек оборудования Что бы исправить  Р -- Заполнение ежедневного чек-листа. Анализ причин сбоя настроек, разработка КД. Соблюдение требований РИ по экструзии. 
О - контроль в соответствии с РИ 27 «Контроль качества пленки», РИ 39 ""Контроль качества пакетов"". Автоматизированная система Бора Пак"
Нарушение допуска по толщине пленки,"Несоблюдение требований Распоряжения от 27.08.2019 машинистами экструзии в процессе производства Что бы исправить Р - соблюдение требований РИ по экструзии. Инструктаж персонала.
О - 100% визуальный контроль машинистом экструзии"
"Несоответствие требованиям ТУ 2245-004-60275246-2023 показателей ""Прочность при растяжении в продольном и поперечном направлении"", 
""Относительное удлинение при разрыве в продольном и поперечном направлении""","Нарушение настроек оборудования или параметров окружающей среды
 Что бы исправить Р - соблюдение требований РИ по экструзии
О - 1 замер каждого рулона, заполнение  Автоматизированной системы Бора Пак.
РИ 27 «Контроль качества пленки», Автоматизированная система Бора Пак"
"Нарушение допуска по показателю ""температура плавления""","Использование несоответствующих средств измерений и контроля Что бы исправить Р - соблюдение Графика поверки Средств измерений и контроля, 
О - контроль выдачи поверенных СИиК машинистам экструзии"
Не соблюдение схемы упаковки,"Сбой настроек оборудования Что бы исправить Р - соблюдение требований РИ по экструзии. Заполнение ежедневных чек-листов экструзии при запуске производства.
SPC анализ (по толщине пленки) с периодичностью, указаной в Графике. (SPC на год в соответствии с требования и потребителей).
О контроль в соответствии с РИ 27 «Контроль качества пленки», 
10 замеров каждого рулона, заполнение Автоматизированной системы Бора Пак.
"
Отсутствие идентификации,"Использование несоответствующих средств измерений и контроля Что бы исправить Р - соблюдение требований РИ по экструзии. Заполнение ежедневных чек-листов экструзии при запуске производства.
SPC анализ (по толщине пленки) с периодичностью, указаной в Графике. (SPC на год в соответствии с требования и потребителей).
О контроль в соответствии с РИ 27 «Контроль качества пленки», 
10 замеров каждого рулона, заполнение Автоматизированной системы Бора Пак.
"
"Нарушение целостности упаковки, механические повреждения","Сбой в работе оборудования Что бы исправить Р -анализ причин сбоя в работе, разработка КД.  Соблюдение Графика обслуживания оборудования.
О - контроль толщины пленки микрометром при переходе с рулона на рулон в цехе экструзии, "
Отсутствие идентификации пленки,"Технологические особенности производства  Что бы исправить Р -анализ причин сбоя в работе, разработка КД.  Соблюдение Графика обслуживания оборудования.
О - контроль толщины пленки микрометром при переходе с рулона на рулон в цехе экструзии, "
"Нарушение целостности упаковки, механические повреждения","Неоптимальные режимы экструзии Что бы исправить 
Р - оптимизация режимов экструзии.
О - Контроль физико-механических показателей с каждого первого рулона каждой новой заявки, и каждой новой уникальной смеси  с использованием Машины испытательной универсальной МИМ.1-1 "
"Отсутствие идентификации каждого рулона этикеткой, и каждой паллеты - паллетным листом","Сырье несоответствующего качества (скрытый дефект) - нарушение техпроцесса у изготовителя  Что бы исправить 
Р - Запрос ПКД и протоколов анализа у изготовителя, проведение аудита.  
О -Лабораторный контроль с использованием управления  по количественному признаку - каждая партия пленки, произведенная из новой партии сырья.
 Проведение анализа SPC - не реже 1 раз в год с учетом требований потребителя (График проведения SPC на год)"
"Пакеты с дефектами пленки из цеха экструзии (складки, нерасплавы, включения, сквозные отверстия (дырки, повреждения рулона))","Сырье несоответствующего качества (скрытый дефект) - нарушение техпроцесса у изготовителя  Что бы исправить Р - Запрос ПКД и протоколов анализа у изготовителя, проведение аудита
О - Лабораторный контроль с использованием управления  по количественному признаку - каждая партия пленки, произведенная из новой партии сырья.
 Проведение анализа SPC - не реже 1 раза в год с учетом требований потребителя (График проведения SPC на год)"
"Несоответствующая толщина, вес* пакетов","Несоблюдение требований рабочей инструкции Что бы исправить  Р - Соблюдение требований РИ 20 по упаковке и идентификации легкоплавкой и ингибированной пленок для хранения. Инструктаж персонала.
О - 100% визуальный контроль в течение смены"
"Некачественный сварной шов  (прожоги, приводящие к негерметичности, неровности)","Несоблюдение требований С10 ""Идентификация и прослеживаемость в производстве"" Что бы исправить Р - соблюдение требований С10 ""Идентификация и прослеживаемость в производстве"". Инструктаж персонала.
О - 100% визуальный контроль наличия идентификации при приемке из производства на склад"
Не соблюдение схемы упаковки,"Нарушение правил транспортировки Что бы исправить Р - соблюдение требований по правилам транспортировки. Соблюдение Распоряжения о перемещении сырья и материалов на погрузчике. Инструктаж персонала
О - 100% визуальный контроль целостности упаковки "
Отсутствие идентификации,"Нарушение требований к идентификации продукции в процессе производства Что бы исправить Р -  соблюдение требований С10 ""Идентификация и прослеживаемость в производстве"". Инструктаж персонала.,
О - Визуальный контроль наличия идентификации при приемке продукции на склад, регистрация перемещения в Автоматизированной системы Бора Пак"
"Нарушение целостности упаковки, механические повреждения","Нарушение правил транспортировки Что бы исправить Р - соблюдение  Распоряжения о перемещении сырья и материалов на погрузчике
О - Визуальный контроль 100%"
Отсутствие идентификации,"Несоблюдение требований  С 10 ""Идентификация и прослеживаемость в производстве"" Что бы исправить Р - соблюдение требований С10 ""Идентификация и прослеживаемость в производстве"". Инструктаж персонала.,
О - 100% визуальный контроль при приемке материала в цехе пакетов (каждый рулон, каждое тарное место)."
Готовая продукция размещена в несоответствующих зонах,"Нарушение технологии изготовления пленки в цехе экструзии.
 Невыполнение требований РИ 27 «Контроль качества пленки"" (цех экструзии).
Нарушение машинистом экструдера требований РИ 39 ""Контроль качества пакетов"" (в процессе производства).
 Что бы исправить Р - анализ причин нарушения технологии 5 Почему, разработка КД.
О -соблюдение требований РИ 27 «Контроль качества пленки» и РИ 39 ""Контроль качества пакетов"" (в процессе производства).
100% визуальный контроль машинистом экструзии в соответствии с Распоряжением о предотвращении дефектов пленки в цехе экструзии"
Превышены нормативные значения температурного режима хранения,"Сбой настроек оборудования Что бы исправить Р - соблюдение требований РИ по запуску и работе линий,.  заполнение ежедневного чек-листа. Анализ причин сбоя настроек, разработка КД.. 
О-
- выполнение требований РИ 39 ""Контроль качества пакетов"", РИ 40 ""Порядок отбора контрольных образцов пакетов"", РИ 41 ""Сортировка несоответствующей продукции по видам дефектов в цехе пакетов"", РИ 27 «Контроль качества пленки»;.
 - Автоматизированная система Бора Пак. Полученные данные по толщине автоматически загружаются в IT систему, при отклонении от заданного диапазона значений - партия блокируетс;я. 
 - SPC анализ (на вес пакета и толщину - в соответстви с требованиями потребителя согласно Графику SPC на год)."
